Exp Strategy,Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_20_2,TABNET (TL),0.9666666666666667,0.9665831244778612,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_20_3,MLP (TL),0.9666666666666667,0.9665831244778613,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_20_3,TABNET (TL),0.3666666666666667,0.3650793650793651,0.6633333333333333
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_20_4,MLP (TL),0.3666666666666667,0.2828282828282828,0.4416666666666667
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_20_4,TABNET (TL),0.6666666666666666,0.5555555555555555,0.6633333333333334
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_25_0,MLP (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_25_0,TABNET (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_25_1,MLP (TL),0.9333333333333332,0.9326599326599326,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_25_1,TABNET (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_25_2,MLP (TL),0.6666666666666666,0.5555555555555555,0.86
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_25_2,TABNET (TL),0.7000000000000001,0.6238244514106583,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_25_3,MLP (TL),0.6666666666666666,0.5555555555555555,0.96
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_25_3,TABNET (TL),0.8666666666666667,0.8611111111111112,0.9983333333333334
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_25_4,MLP (TL),0.6666666666666666,0.5555555555555555,0.9700000000000001
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_25_4,TABNET (TL),0.9666666666666667,0.9665831244778612,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_30_0,MLP (TL),0.6666666666666666,0.5555555555555555,0.9683333333333334
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_30_0,TABNET (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_30_1,MLP (TL),0.6,0.5891402714932127,0.9733333333333333
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_30_1,TABNET (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_30_2,MLP (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_30_2,TABNET (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_30_3,MLP (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_30_3,TABNET (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_30_4,MLP (TL),0.6666666666666666,0.5555555555555555,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_30_4,TABNET (TL),0.7666666666666666,0.7340930674264007,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_35_0,MLP (TL),0.7999999999999999,0.7802197802197801,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_35_0,TABNET (TL),0.9,0.8976982097186701,0.9583333333333334
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_35_1,MLP (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_35_1,TABNET (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_35_2,MLP (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_35_2,TABNET (TL),1.0,1.0,1.0
1_Estrategia_A,HUST_Gearbox,Diagnosis,Cond_35_3,MLP (TL),1.0,1.0,1.0
