Model,Bal Acc,F1 (Anomaly),ROC-AUC,Dataset,Test Condition
AE (Percentil 99),0.95,0.9473684210526315,1.0,UOEMD,Load_Loaded_Speed_30Hz
AE (Mediana + 3*MAD),1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_30Hz
Isolation Forest,1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_45Hz
One-Class SVM,0.5,0.9333333333333333,1.0,UOEMD,Load_Loaded_Speed_45Hz
AE (Média + 2σ),0.5,0.9333333333333333,1.0,UOEMD,Load_Loaded_Speed_45Hz
AE (Percentil 99),0.95,0.9929078014184397,1.0,UOEMD,Load_Loaded_Speed_45Hz
AE (Mediana + 3*MAD),0.5,0.9333333333333333,1.0,UOEMD,Load_Loaded_Speed_45Hz
Isolation Forest,0.95,0.9929078014184397,1.0,UOEMD,Load_Loaded_Speed_60Hz
One-Class SVM,0.95,0.9929078014184397,1.0,UOEMD,Load_Loaded_Speed_60Hz
AE (Média + 2σ),1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_60Hz
AE (Percentil 99),1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_60Hz
AE (Mediana + 3*MAD),1.0,1.0,1.0,UOEMD,Load_Loaded_Speed_60Hz
Isolation Forest,0.9214285714285715,0.9147286821705426,0.9828571428571429,UOEMD,Load_Loaded_Speed_Dec_45_to_15Hz
One-Class SVM,0.75,0.9655172413793104,1.0,UOEMD,Load_Loaded_Speed_Dec_45_to_15Hz
AE (Média + 2σ),0.9428571428571428,0.9857142857142858,0.9842857142857143,UOEMD,Load_Loaded_Speed_Dec_45_to_15Hz
AE (Percentil 99),0.9642857142857143,0.9629629629629629,0.9842857142857143,UOEMD,Load_Loaded_Speed_Dec_45_to_15Hz
AE (Mediana + 3*MAD),0.6428571428571429,0.9452054794520548,0.9842857142857143,UOEMD,Load_Loaded_Speed_Dec_45_to_15Hz
Isolation Forest,0.9928571428571429,0.9928057553956835,1.0,UOEMD,Load_Loaded_Speed_Dec_60_to_30Hz
One-Class SVM,0.7,0.958904109589041,1.0,UOEMD,Load_Loaded_Speed_Dec_60_to_30Hz
AE (Média + 2σ),0.9,0.9859154929577465,1.0,UOEMD,Load_Loaded_Speed_Dec_60_to_30Hz
