Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
HUST_Gearbox,Diagnosis,Cond_40_1,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_2,SVM (RBF),0.9333333333333332,0.7222222222222222,0.0
HUST_Gearbox,Diagnosis,Cond_40_2,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_2,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,0.9833333333333334
HUST_Gearbox,Diagnosis,Cond_40_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_3,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_3,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_3,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_4,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_4,SVM (RBF),0.9333333333333332,0.7222222222222222,0.0
HUST_Gearbox,Diagnosis,Cond_40_4,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_4,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,SVM (RBF),0.9333333333333332,0.7222222222222222,0.0
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,Multi-Head DL (MLP),0.7999999999999999,0.7907894736842106,0.9550000000000001
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,Multi-Head DL (TABNET),0.9333333333333332,0.9326599326599326,0.9966666666666667
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,SVM (RBF),0.8333333333333334,0.5333333333333333,0.0
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,Multi-Head DL (MLP),0.4666666666666666,0.38095238095238093,0.575
HUST_Gearbox,Diagnosis,Cond_L1_VS_0_40_0,Multi-Head DL (TABNET),0.8666666666666667,0.8611111111111112,0.9816666666666668
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,Multi-Head DL (MLP),0.7999999999999999,0.7802197802197802,0.9666666666666667
HUST_Gearbox,Diagnosis,Cond_L2_VS_0_40_0,Multi-Head DL (TABNET),0.8666666666666667,0.8611111111111112,0.96
HUST_Gearbox,Diagnosis,Cond_L3_VS_0_40_0,Random Forest,1.0,1.0,0.0
