Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Hybrid DL (TABNET),0.5,0.3974358974358974,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Random Forest,0.625,0.5305555555555556,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,SVM (RBF),0.3875,0.3198970840480274,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Hybrid DL (MLP),0.4625,0.3605769230769231,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Hybrid DL (TABNET),0.5,0.41666666666666663,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,0.8875,0.8883630645240552,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,SVM (RBF),0.5249999999999999,0.46178875590640295,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Hybrid DL (MLP),0.4125,0.3250971250971251,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Hybrid DL (TABNET),0.5249999999999999,0.5204142262965792,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,0.9375,0.9365741720028973,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,SVM (RBF),0.5125,0.45040041695795463,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Hybrid DL (MLP),0.4125,0.382165991902834,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Hybrid DL (TABNET),0.5375,0.45517276840806253,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,0.9375,0.9373205741626793,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,SVM (RBF),0.5874999999999999,0.5627829485786968,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Hybrid DL (MLP),0.35,0.31926020408163264,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Hybrid DL (TABNET),0.48750000000000004,0.4146907673223462,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.8625,0.8603178609353734,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,SVM (RBF),0.45,0.4139677271256218,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Hybrid DL (MLP),0.4375,0.39487975792323615,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Hybrid DL (TABNET),0.5125,0.50953139589169,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Random Forest,0.5375,0.46106521549086454,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,SVM (RBF),0.4625,0.3482142857142857,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Hybrid DL (MLP),0.4625,0.4018474215842637,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Hybrid DL (TABNET),0.6,0.5395192846467209,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Random Forest,0.7,0.6505681818181819,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,SVM (RBF),0.525,0.4174127688059577,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Hybrid DL (MLP),0.4875,0.45211038961038963,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Hybrid DL (TABNET),0.65,0.6057625948930296,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Random Forest,0.975,0.9747474747474747,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,SVM (RBF),0.375,0.375,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Hybrid DL (MLP),0.675,0.6183035714285714,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Hybrid DL (TABNET),0.5125,0.44684517497348886,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Random Forest,1.0,1.0,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,SVM (RBF),0.75,0.6794258373205742,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Hybrid DL (MLP),0.5,0.41666666666666663,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Hybrid DL (TABNET),0.6375,0.5797619047619047,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,0.925,0.9220243121171914,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,SVM (RBF),0.525,0.47205435463659146,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Hybrid DL (MLP),0.44999999999999996,0.38928571428571423,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Hybrid DL (TABNET),0.4875,0.4511446886446887,0.0
